epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2509.59,0.47511,0.27609,0.92385,0.99727,0.99759,0.99472,0.93666,0.36725,0.19762,0.82158,0.0002971,0.0002971,0.0002971
73,2544.49,0.48114,0.27743,0.92563,0.99683,0.99808,0.99498,0.93741,0.37023,0.19696,0.82308,0.0002872,0.0002872,0.0002872
74,2579.44,0.46898,0.27066,0.91566,0.99497,0.99655,0.995,0.94156,0.36003,0.19791,0.81881,0.0002773,0.0002773,0.0002773
75,2614.5,0.47613,0.27844,0.92191,0.99811,0.99799,0.99498,0.94188,0.36278,0.19392,0.82092,0.0002674,0.0002674,0.0002674
76,2649.29,0.46987,0.27038,0.92059,0.99713,0.99804,0.99498,0.94375,0.35165,0.19097,0.81914,0.0002575,0.0002575,0.0002575
77,2684.26,0.46209,0.26736,0.91666,0.99776,0.99865,0.99497,0.94255,0.35552,0.18974,0.81862,0.0002476,0.0002476,0.0002476
78,2719.05,0.45803,0.26573,0.91635,0.99936,0.99707,0.995,0.94665,0.34601,0.18554,0.81337,0.0002377,0.0002377,0.0002377
79,2753.94,0.45223,0.26022,0.91137,0.99748,0.99806,0.99499,0.94563,0.34054,0.18347,0.81308,0.0002278,0.0002278,0.0002278
80,2788.79,0.4407,0.26256,0.90832,0.99877,0.99712,0.99496,0.94979,0.33936,0.18128,0.81107,0.0002179,0.0002179,0.0002179
81,2823.84,0.44401,0.26062,0.91262,0.99841,0.99761,0.99499,0.94915,0.33544,0.17888,0.80901,0.000208,0.000208,0.000208
82,2858.56,0.44104,0.25911,0.90662,0.9981,0.99831,0.99493,0.95102,0.33279,0.17868,0.80801,0.0001981,0.0001981,0.0001981
83,2893.41,0.43974,0.25197,0.91,0.99784,0.99767,0.99498,0.95024,0.33002,0.17737,0.80946,0.0001882,0.0001882,0.0001882
84,2928.17,0.44163,0.25502,0.91227,0.9976,0.99822,0.99493,0.9521,0.32631,0.17628,0.80682,0.0001783,0.0001783,0.0001783
85,2963.16,0.43048,0.25159,0.90487,0.99876,0.99865,0.995,0.95093,0.32201,0.17314,0.80436,0.0001684,0.0001684,0.0001684
86,2997.7,0.42958,0.24995,0.90114,0.99841,0.99815,0.99495,0.95478,0.3179,0.17166,0.80251,0.0001585,0.0001585,0.0001585
87,3032.55,0.42745,0.24615,0.90421,0.99877,0.99757,0.995,0.95512,0.31694,0.17066,0.80272,0.0001486,0.0001486,0.0001486
88,3067.68,0.43005,0.2501,0.9045,0.9984,0.99765,0.99497,0.95579,0.31423,0.16933,0.80219,0.0001387,0.0001387,0.0001387
89,3102.4,0.42204,0.24846,0.9065,0.99881,0.99779,0.9949,0.95421,0.31451,0.16855,0.80293,0.0001288,0.0001288,0.0001288
90,3137.15,0.40937,0.24463,0.90323,0.99894,0.99628,0.995,0.95748,0.30246,0.16584,0.80001,0.0001189,0.0001189,0.0001189
91,3172.63,0.36058,0.19805,0.84317,0.9965,0.99811,0.99496,0.95185,0.31946,0.17352,0.8037,0.000109,0.000109,0.000109
92,3207.23,0.34965,0.1915,0.83625,0.9978,0.99675,0.995,0.95556,0.31383,0.17214,0.80219,9.91e-05,9.91e-05,9.91e-05
93,3241.88,0.34785,0.19318,0.8352,0.99844,0.99669,0.99499,0.95838,0.30941,0.17026,0.80014,8.92e-05,8.92e-05,8.92e-05
94,3276.29,0.33642,0.18819,0.83056,0.99789,0.99844,0.995,0.95987,0.30275,0.16732,0.7989,7.93e-05,7.93e-05,7.93e-05
95,3311.11,0.33401,0.18468,0.83128,0.99823,0.99813,0.99499,0.96014,0.29446,0.16469,0.79822,6.94e-05,6.94e-05,6.94e-05
96,3345.94,0.32704,0.18094,0.82629,0.99826,0.99824,0.99499,0.96063,0.29557,0.16164,0.79557,5.95e-05,5.95e-05,5.95e-05
97,3380.82,0.32043,0.17791,0.82641,0.99825,0.99823,0.99499,0.96317,0.28981,0.1595,0.79397,4.96e-05,4.96e-05,4.96e-05
98,3415.55,0.31927,0.17818,0.82856,0.99867,0.99811,0.99499,0.96455,0.28724,0.15805,0.79345,3.97e-05,3.97e-05,3.97e-05
99,3450.25,0.31638,0.17568,0.82281,0.99833,0.99813,0.99499,0.96521,0.2836,0.15679,0.79242,2.98e-05,2.98e-05,2.98e-05
100,3484.95,0.31517,0.17543,0.82403,0.9987,0.99811,0.99499,0.96465,0.2835,0.15645,0.79198,1.99e-05,1.99e-05,1.99e-05
